"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\infra\http\mappers.ts", "TypeScript", 13, 0, 0, 7, 3, 23
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\infra\index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\infra\keys.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\components\CustomerCompaniesSection.tsx", "TypeScript JSX", 0, 0, 62, 0, 5, 67
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\components\CustomerContactsSection.tsx", "TypeScript JSX", 0, 0, 111, 1, 12, 124
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\components\CustomerCrudModal.tsx", "TypeScript JSX", 0, 0, 54, 0, 4, 58
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\helpers\companyHelpers.ts", "TypeScript", 52, 0, 0, 0, 8, 60
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\helpers\contactHelpers.ts", "TypeScript", 45, 0, 0, 6, 7, 58
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\index.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\pages\CustomersPage.tsx", "TypeScript JSX", 0, 0, 35, 1, 6, 42
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\pages\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\search\customerContactsSearchConfig.ts", "TypeScript", 15, 0, 0, 0, 3, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\presentation\search\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\leads\application\context.ts", "TypeScript", 21, 0, 0, 0, 3, 24
"c:\Users\david\Downloads\marosProject\maros-next\src\features\leads\application\errors\UseCaseError.ts", "TypeScript", 18, 0, 0, 0, 3, 21
